Number,Symbol,Name,Definition
1,β,Absentation,"One of the members of a family absents himself from home."
2,γ,Interdiction,"An interdiction is addressed to the hero."
3,δ,Violation,"The interdiction is violated."
4,ε,Reconnaissance,"The villain makes an attempt at reconnaissance."
5,ζ,Delivery,"The villain receives information about his victim."
6,η,Trickery,"The villain attempts to deceive his victim in order to take possession of him or of his belongings."
7,θ,Complicity,"Victim submits to deception and thereby unwittingly helps his enemy."
8,A,Villainy,"The villain causes harm or injury to a member of a family."
8A,a,Lack,"A member of a family lacks something or desires to have something."
9,B,Meditation,"Misfortune or lack is made known; the hero is approached with a request or command; he is allowed to go or he is dispatched."
10,C,Beginning counteraction,"The hero agrees to or decides upon counteraction."
11,↑,Departure,"The hero leaves home."
12,D,First function of the Donor,"The hero is tested, interrogated, attacked etc., which prepares the way for his receiving either a magical agent or a helper."
13,E,The hero’s reaction,"The hero reacts to the actions of the future Donor."
14,F,Provision of a magical agent,"The hero acquires the use of a magical agent."
15,G,Guidance,"Hero is led to the whereabouts of an object of search."
16,H,Struggle,"The hero and the villain join in direct combat."
17,I,Branding,"The hero is branded."
18,J,Victory,"The villain is defeated."
19,K,Liquidation of Lack,"The initial misfortune or lack is liquidated."
20,↓,Return,"The hero returns."
21,Pr,Pursuit,"The hero is pursued."
22,Rs,Rescue,"Rescue of the hero from pursuit."
23,o,Unrecognized arrival,"Unrecognized, he arrives home or in another country."
24,L,Unfounded claims,"A false hero presents unfounded claims."
25,M,Difficult task,"A difficult task is proposed to the hero."
26,N,Solution,"The task is resolved."
27,Q,Recognised,"The hero is recognised."
28,Ex,Exposure,"The false hero or villain is exposed."
29,T,Transfiguration,"The hero is given a new appearance."
30,U,Punishment,"The villain is punished."
31,W,Wedding,"The hero is married and ascends the throne."
