一级分类 (Level 1),二级标签 (Level 2 Tag),核心定义与区别 (Definition),典型叙事场景 (Context)
家庭与亲缘(Family & Kinship),parent_child,父母子女垂直的抚养与权威关系（含养父母）。,继母虐待、父王驱逐王子、母亲救子。
,sibling,兄弟姐妹水平的血缘或结拜关系，常伴随竞争。,兄弟分家、姐姐保护妹妹、该隐与亚伯。
,spouse,夫妻/配偶法律或习俗认可的长期伴侣（契约性）。,寻找失踪妻子、王后背叛国王。
,extended_family,亲戚/宗族非直系亲属（叔舅姑姨、祖父母）。,舅舅作为监护人或反派、祖母给予指引。
浪漫与激情(Romance),lover,恋人/情人基于激情或追求的非婚姻关系（含婚外情）。,罗密欧与朱丽叶、骑士追求贵妇、初恋。
权威与阶级(Hierarchy),ruler_subject,君臣/领主基于国家、领土或法律的政治统治权。,臣子进谏、国王判决、骑士效忠领主。
,master_servant,主仆/雇佣基于人身依附、所有权或金钱的支配权。,财主与长工、灯神与阿拉丁、老爷与管家。
,mentor_student,师徒/导师基于知识、技能或智慧传承的引导关系。,巫师教导学徒、武林宗师传功、智者指路。
,commander_subordinate,长官/下属基于特定组织（军队/帮派）的指挥链。,将军命令士兵、强盗头子指挥喽啰。
社交与结盟(Social & Alliance),friend,朋友/挚友基于私人情感的亲密连接，无直接功利性。,一起长大的发小、互相信任的旅伴。
,ally,盟友/伙伴基于共同目标（利益）的临时或长期合作。,敌对两国联合抗龙、临时组队寻宝。
,colleague,同僚/同门职业平级或师出同门（非血缘）的关系。,一起站岗的卫兵、同一门派的竞争师兄。
对抗与敌对(Adversarial),enemy,死敌/仇人核心是毁灭或仇恨，目的是消灭对方。,英雄 vs 魔王、杀父之仇、正邪对立。
,rival,对手/情敌核心是竞争（争夺荣誉/奖品/爱人），不一定致死。,吹牛比赛对手、追求同一人的两个骑士。
中立(Neutral),stranger,陌生人此前无任何社会交集。,路人、偶遇的怪兽、旅店过客。
