Code,Level,Parent Code,Description,Source,Line Number
A102,1,,Characteristics of deity.,,1
A102.1,2,A102,"Omniscient god. Icel.: MacCulloch Eddic 47 (Odin); Irish Myth: Cross; Jewish: Neuman.—So. Am. Indian (Chiriguano): Métraux RMLP XXXIII 173, (Guarani): Métraux BBAE CXLIII (3) 93.",,2
A102.2,2,A102,All-seeing god. Jewish: Neuman; Greek: Aeschylus Suppliants line 138.,,3
A102.3,2,A102,Immutable god. Jewish: Neuman.,,4
A102.4,2,A102,Omnipotent god. Jewish: *Neuman.,,5
A102.5,2,A102,Omnipresent god. Jewish: Neuman; India: Thompson-Balys.,,6
A102.6,2,A102,Eternal god. Jewish: Neuman.,,7
A102.7,2,A102,Holy god. Jewish: Neuman.,,8
A102.8,2,A102,Sleepless god. Jewish: Neuman.,,9
A102.9,2,A102,Invisible god. Jewish: Neuman.,,10
A102.10,2,A102,Unity of God. Jewish: Neuman.,,11
A102.11,2,A102,Purity of God. Jewish: Neuman.,,12
A102.12,2,A102,Perfect God. Jewish: Neuman.,,13
A102.13,2,A102,Loving kindness of God. Jewish: Neuman.,,14
A102.14,2,A102,Goodness of God. Jewish: Neuman.,,15
A102.15,2,A102,Modesty of God. Jewish: Neuman.,,16
A102.16,2,A102,Justice of God. Jewish: Neuman.,,17
A102.17,2,A102,Anger of God. Jewish: Neuman.,,18
A102.18,2,A102,"Imperfect god, subject to death and rebirth. Buddhist myth: Malalasekera II 959.",,19
A102.19,2,A102,Conflict between God's justice and mercy. Jewish: Neuman.,,20
A103,1,,"Father-god. Greek: Grote I 3; Hindu: Keith 50ff., 73ff., 82ff.; India: Thompson-Balys.",,21
A104,1,,The making of gods.,,22
A104.1,2,A104,"Living person becomes god. Hawaii: *Beckwith Myth 2, ch. I passim.",,23
A104.2,2,A104,Dead body becomes god. Hawaii: Beckwith Myth 2.,,24
A104.3,2,A104,Miscellaneous objects become gods. Hawaii: Beckwith Myth 2.,,25
A104.4,2,A104,Spirits become gods. Hawaii: Beckwith Myth 45.,,26
A106,1,,Opposition of good and evil gods. Hindu: Keith 84; *Penzer I 197; India: Thompson-Balys.—Tarahumare (Mexican Indian): Alexander N. Am. 176; S. Am. Indians (Antioquians): Alexander Lat. Am. 197.—Jewish: Neuman.,,27
A106.0.1,3,A106.0,Gods and the demons quarrel over supremacy. India: Thompson- Balys.,,28
A106.1,2,A106,Revolt of bad gods against good. Babylonian: Spence 75.,,29
A106.1.1,3,A106.1,Goddess rebels against her father for forbidding her marriage. India: Thompson-Balys.,,30
A106.2,2,A106,"Revolt of evil angels against God. Jensen Dania II 180; Olrik ibid. II 67; Irish myth: Cross; India: Thompson-Balys; Lithuanian: Balys Index No. 3002, Legends Nos. 5, 6; Jewish: *Neuman; Irish: Beal. XXI 323.",,31
A106.2.1,3,A106.2,Revolting devil banished to hell. India: Thompson-Balys; Jewish: Neuman.,,32
A106.2.1.1,4,A106.2.1,Banished devil appears on earth only on day of dark moon. India: Thompson-Balys.,,33
A106.2.1.2,4,A106.2.1,Demon (opposed to God) allowed to earth four times a year (but must let people know who he is and not deceive them). India: Thompson-Balys.,,34
A106.2.2,3,A106.2,Satan's fall from heaven. Jewish: Neuman.,,35
A106.3,2,A106,Created beings rebel against God. Jewish: Neuman.,,36
A107,1,,"Gods of darkness and light. Darkness thought of as evil, light as good.— Babylonian: Spence 74; Irish myth: Cross; Jewish: Neuman.",,37
A108,1,,God of the living and the dead in the otherworld. Chinese: Werner 248.,,38
A108.1,2,A108,God of the dead. Irish myth: Cross; Hawaii: Beckwith Myth 60.,,39
A109,1,,Deity: miscellaneous motifs.,,40
A109.1,2,A109,God as a triad. Hawaii: Beckwith Myth 44; Icel.: Boberg.,,41
A109.2,2,A109,Goddess as mother of Pacific Ocean. Maori: Beckwith Myth 179.,,42
A110,1,,Origin of the gods.,,43
A111,1,,Parents of the gods. Hawaii: Beckwith Myth 171.,,44
A111.1,2,A111,"Mother of the gods. (cf. A116.2). **Showerman; Smith Dragon viii; *Holmberg Baum 84ff.—Babylonian: Spence 123ff.; Hindu: Penzer I 270ff., 276, VII 231; India: Thompson-Balys; Hittite: Garstang The Hittite Empire 305ff.; Gaster Thespis 179.—Oceanic: Beckwith Myth 294; So. Am. Indian (Apapocuvú-Guarani): Métraux RMLP XXXIII 122.",,45
A111.2,2,A111,Father of the gods. Icel.: Boberg.,,46
A111.3,2,A111,Ancestor of the gods. Tahiti: Henry 336.,,47
A111.3.0.1,4,A111.3.0,God of double sex carries within him seed of gods. Greek: Grote I 16.,,48
A12,1,,Hermaphroditic creator.,,49
A111.3.1,3,A111.3,God dwells with his grandfathers. Marquesas: Handy 106.,,50
A111.3.2,3,A111.3,Sea creatures as ancestors of goddess. Tuamotu: Stimson MS (T-G. 3/600).,,51
A111.3.3,3,A111.3,Great bird as ancestor of gods. Hawaii: Beckwith Myth 92.,,52
A112,1,,Birth of gods. India: Thompson-Balys.,,53
A112.1,2,A112,God from incestuous union. Krappe The Review of Religion (1941); India: Thompson-Balys.,,54
A112.1.1,3,A112.1,God from father-daughter incest. Adonis. Greek: Spence 132.—Icel.: Boberg.,,55
A112.1.1.1,4,A112.1.1,Goddess of music and dance born of incestuous union (Brahma and daughter). India: Thompson-Balys.,,56
A112.2,2,A112,Male and female creators beget gods. Japanese: Anesaki 223.,,57
A112.3,2,A112,Gods born from various parts of creator's body. Japanese: Anesaki 224.,,58
A112.4,2,A112,"God as son of giant. Icel.: MacCulloch Eddic 139 (Loki), 324 (Odin, Vili, and Ve), Boberg.",,59
A112.4.1,3,A112.4,God as son of giantess. Icel.: Boberg.,,60
A112.4.2,3,A112.4,Goddess as daughter of giant. Icel.: Boberg.,,61
A112.5,2,A112,God as son of nine giantesses. Icel.: MacCulloch Eddic 153 (Heimdall).,,62
A112.6,2,A112,Gods as sons of supreme god. Icel.: MacCulloch Eddic 61.—Tahiti: Henry 147.,,63
A112.7,2,A112,God born from peculiar part of parent's body.,,64
A112.7.1,3,A112.7,God born from mother's ear. Marquesas: Handy 107.,,65
A112.7.2,3,A112.7,God born from mother's armpit. Marquesas: Handy 107.,,66
A112.7.3,3,A112.7,Goddess born from mother's eyes. Hawaii: Beckwith Myth 186.,,67
A112.7.4,3,A112.7,God born after prematurely short pregnancy. Marquesas: Handy 107.,,68
A112.8,2,A112,God from adulterous union. Irish myth: Cross.,,69
A112.9,2,A112,Gods borne by human woman. India: Thompson-Balys.,,70
A112.9.1,3,A112.9,Elementary spirits borne by human woman. India: Thompson- Balys.,,71
A112.10,2,A112,Divine child cast out at birth. Polynesia: Beckwith Myth 257.,,72
A112.11,2,A112,Child born from union of God with hen. Easter Is.: Métraux Ethnology 130.,,73
A113,1,,"Totemistic gods. Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow.—Babylonian: Spence 93; India: *Thompson-Balys; Irish myth: Cross.",,74
A114,1,,Gods born from object.,,75
A114.1,2,A114,Deity born from sea-foam. Aphrodite. Greek: Roscher I 402; *Frazer Pausanias III 544.,,76
A114.1.1,3,A114.1,Goddess born from sweat of rock washed by sea. Minahassa (Celebes): Dixon 157.,,77
A114.1.1.1,4,A114.1.1,God born of another god's sweat. India: Thompson-Balys.,,78
A114.1.1.2,4,A114.1.1,Origin of lesser gods from spittle of great god. Hawaii: Beckwith Myth 82.,,79
A114.2,2,A114,God born from egg. Tahiti: Henry 337; Marquesas: Handy 104.—So. Am. Indian (Huamachuco): Métraux RMLP XXXIII 151.,,80
A114.2.1,3,A114.2,Deity born in shape of egg. Hawaii: Beckwith Myth 169.,,81
A114.3,2,A114,Deity born from skull. Easter Is.: Métraux Ethnology 312.,,82
A114.4,2,A114,"Deity born from tree. Hawaii: Beckwith Myth 279, 284.—So. Am. Indian (Tembé): Métraux RMLP XXXIII 122.",,83
A115,1,,Emergence of deity.,,84
A115.1,2,A115,First deity grows out of primeval chaos. Japanese: Anesaki 222.,,85
A115.2,2,A115,God issues from earth. Norse: MacCulloch Eddic 328 (Tuisto).,,86
A115.3,2,A115,Deity arises from mist. Hawaii: Beckwith Myth 71.,,87
A115.4,2,A115,Deity emerges from darkness of underworld. Mangia (Cook Is.): Beckwith Myth 224.,,88
A115.5,2,A115,Emergence of gods from above and below. Marquesas: Handy 138.,,89
A115.6,2,A115,Deity arises from shell of darkness where he has been for million ages. Tahiti: Henry.,,90
A115.7,2,A115,Gods emerge from hole in tree. India: Thompson-Balys.,,91
A116,1,,"Twin gods. *Harris Twins, Boanerges, Picus who is also Zeus; Krappe Etudes de mythologie 137ff.; Güntert Weltkönig 253ff.; S. Eitrem Die göttlichen Zwillinge bei den Griechen (Christiania 1902); H. Grégoire Saints jumeaux et dieux cavaliers (Paris 1905); J.R. Harris The Dioscuri in the Christian Legends (London 1903); Krappe The Classical Journal XVIII (1923) 502ff.; Zeitschrift für Ethnologie LXVI (1929) 187ff.; ""Les dieux jumeaux dans la religion germanique"" Acta Philologica Scandinavica (1930); Review of Religion (1944) 123ff.; Revue Celtique XLIX (1932) 96ff; P. Saintyves, ""Les Jumeaux, dans l'ethnographie et la mythologie,"" Revue Anthrop. XXXV (1925) 54—59; T. Gaster Oldest Stories 69.—Germanic: Helm Altgermanische Religionsgeschichte I 321ff.; Irish myth: Cross; Greek: Fox 26; Armenian: Ananikian 40; Hindu: Keith 30f. (Lettish also mentioned).—Zuсi: Alexander N. Am. 188; Mixtec: Alexander Lat. Am. 86; Indians of Central Brazil: Ehrenreich International Cong. of Americanists XIV 661; Chiriguano: Métraux RMLP XXXIII 172.",,92
A116.1,2,A116,"Twin gods—one mortal, other immortal. Harris Twins 4ff.",,93
A116.2,2,A116,Twin goddesses (or trinity of goddesses). Irish myth: Cross.,,94
A116.2.1,3,A116.2,Twin daughters of a god. India: Thompson-Balys.,,95
A117,1,,Mortals become gods.,,96
A117.1,2,A117,First men created with eternal life become gods. India: Thompson- Balys.,,97
A117.2,2,A117,Mortal translated to heaven and deified. India: *Thompson-Balys; Maori: Clark Maori Folk Tales 167.,,98
A117.3,2,A117,In extreme old age spirits become gods. Hawaii: Beckwith Myth 67.,,99
A117.4,2,A117,Mortal transfigured to god on mountain top. Maori: Beckwith Myth 250.,,100
A117.5,2,A117,Gods are spirits of deified dead. Easter Is.: Métraux Ethnology 316.,,101
A118,1,,Self-created deity. Tahiti: Henry 336f.,,102
A119,1,,Origin of gods—miscellaneous.,,103
A119.1,2,A119,God made by magic. Tahiti: Henry 341.—So. Am. Indian (Apapocuvá-Guarani): Métraux RMLP XXXIII 122.,,104
A119.2,2,A119,Goddess produced by heat of earth. Tahiti: Beckwith Myth 178.,,105
A119.3,2,A119,"Arrival of the gods in particular country. Tonga: Gifford 199; Hawaii: Beckwith Myth 2, 3, 11.",,106
A120,1,,Nature and appearance of the gods. (cf. A18f.). Jewish: *Neuman.,,107
A120.1,2,A120,God as shape-shifter. Irish myth: Cross.,,108
A120.2,2,A120,Size-changing god. Hawaii: Beckwith Myth 127.,,109
A120.3,2,A120,Incorporeal god. Jewish: Neuman.,,110
A120.4,2,A120,Formless gods. Tonga: Beckwith Myth 128.,,111
A121,1,,Stars as deities. H. Gressmann Die hellenistische Gestirn-religion (Leipzig 1925); Gaster Thespis 228f.—Zuсi: Alexander N. Am. 187.,,112
A121.1,2,A121,Moon as deity. (cf. A240). Jewish: Neuman.,,113
A121.2,2,A121,Sun as deity. (cf. A220). Jewish: Neuman; Hawaii: Beckwith Myth 217.,,114
A122,1,,"God half mortal, half immortal. Hair, skin, flesh, bones and marrow are mortal; mind, voice, breath, eye, and ear are immortal. (prajapati).—Hindu: Keith 76; cf. Greek: Grote I 3.",,115
A123,1,,Monstrous gods. Jewish: Neuman.,,116
A123.1,2,A123,God monstrous as to body.,,117
A123.1.1,3,A123.1,Three-bodied goddess. Hekate has three bodies standing back to back and looking in three directions.—Greek: Fox 188.,,118
A123.1.2,3,A123.1,God with two joined bodies. Tahiti: Henry 344.,,119
A123.1.3,3,A123.1,God with good looking and ugly bodies. Marquesas: Handy 124.,,120
A123.1.4,3,A123.1,"God with body of earthquake (whirlwind, etc.). Hawaii: Beckwith Myth 30.",,121
A123.1.5,3,A123.1,God with body of caterpillars. Hawaii: Beckwith Myth 30.,,122
A123.1.6,3,A123.1,God with body of stream of blood. Hawaii: Beckwith Myth 30.,,123
A123.1.7,3,A123.1,"Goddess with three supernatural bodies: fire, cliff, sea. Hawaii: Beckwith Myth 496.",,124
A123.2,2,A123,God unusual as to face. Jewish: Neuman.,,125
A123.2.1,3,A123.2,God with many faces.,,126
A123.2.1.1,4,A123.2.1,God with two faces. *Krappe Balor 7 n. 24; Usener IV 347ff.; *Frazer Ovid II 95ff; India: Thompson-Balys.,,127
A123.2.1.2,4,A123.2.1,God with three faces. *Krappe Balor 8 n. 28.—Chinese: Werner 324.,,128
A123.2.1.3,4,A123.2.1,"God with four faces. Greek: Roscher ""Ianus""; Jewish: Neuman; India: Thompson-Balys.",,129
A123.2.1.4,4,A123.2.1,God with five faces. Jewish: Neuman.,,130
A123.2.1.5,4,A123.2.1,"God with six faces. Hindu: Penzer I 73 n. 1, II 102.",,131
A123.2.2,3,A123.2,God's unusual mouth.,,132
A123.2.2.1,4,A123.2.2,Maggots squirm from mouth of man-eating god. Hawaii: Beckwith Myth 506.,,133
A123.2.2.2,4,A123.2.2,Goddess with eight mouths. Tonga: Gifford 168.,,134
A123.3,2,A123,God unusual as to eyes.,,135
A123.3.1,3,A123.3,"God with many eyes. *Krappe Balor 19ff. (Argos); Usener IV 223.—Hindu: Penzer II 46 n. 4, VIII 75, 116, IX 19; Keith 110, 134; Chinese: Werner 144.",,136
A123.3.1.1,4,A123.3.1,Three-eyed god. *Usener IV 224 n. 1; *Frazer Pausanias III 209; Buddhist myth: Malalasekera II 32; India: Thompson-Balys.,,137
A123.3.1.2,4,A123.3.1,God with hundred eyes. Irish myth: Cross; India: Thompson- Balys.,,138
A123.3.1.3,4,A123.3.1,God with thirteen eyes. India: Thompson-Balys.,,139
A123.3.1.4,4,A123.3.1,God with thousand eyes. India: Thompson-Balys.,,140
A123.3.1.4.1,5,A123.3.1.4,Goddess with thousand eyes. India: Thompson-Balys.,,141
A123.3.2,3,A123.3,God with flashing eyes. Hawaii: Beckwith Myth 30; Buddhist myth: Malalasekera II 32.,,142
A123.4,2,A123,God monstrous as to head.,,143
A123.4.1,3,A123.4,"God with many heads. Slavic (Elbe): Máchal 283f., Boberg. —Chinese: Werner 241, 321.",,144
A123.4.1.1,4,A123.4.1,God with three heads. Irish myth: Cross.,,145
A123.4.1.2,4,A123.4.1,God with seven heads. India: Thompson-Balys.,,146
A123.4.1.3,4,A123.4.1,God with eight heads. Tahiti: Beckwith Myth 209.,,147
A123.4.2,3,A123.4,God with head of stone. Hawaii: Beckwith Myth 88.,,148
A123.5,2,A123,God unusual as to arms.,,149
A123.5.1,3,A123.5,"God with many arms. Siva has ten arms.—Hindu: Keith 110; Chinese: Werner 144, 324.—Cf. Greek: Roscher ""Briareos""; India: *Thompson-Balys; Irish Myth: Cross.",,150
A123.5.2,3,A123.5,Marvels concerning God's arm and fingers. Jewish: Neuman.,,151
A123.6,2,A123,God unusual at to legs (feet).,,152
A123.6.1,3,A123.6,God with three legs. India: Thompson-Balys.,,153
A123.7,2,A123,God unusual as to color.,,154
A123.7.1,3,A123.7,Many-colored god. Hindu: Keith 81 (Shiva).,,155
A123.7.2,3,A123.7,"Black god(dess). Icel.: *Boberg, MacCulloch Eddic 304; W. Golther Deutsche Myth. (1895) 473f. (Hell); Hindu: Keith 126 (Krsna).",,156
A123.8,2,A123,Goddess with one-and-a-half buttocks. India: Thompson-Balys.,,157
A123.9,2,A123,Lotus plants grow from navel of Vishnu. India: Thompson-Balys.,,158
A123.10,2,A123,God (deity) girdled with snakes; on his forehead shines the moon. India: Thompson-Balys.,,159
A123.11,2,A123,God with tail. Mangaia (Cook Is.): Clark 140; Fiji: Beckwith Myth 76; Tahiti: Beckwith Myth 113.,,160
A124,1,,Luminous god. Icel.: MacCulloch Eddic 129 (Balder); India: *Thompson- Balys.,,161
A124.0.1,3,A124.0,God with luminous countenance. Irish myth: Cross; Jewish: Neuman.,,162
A124.1,2,A124,God with blazing eye. Hindu: Penzer VI 31 n. 1; India: *Thompson- Balys.,,163
A124.2,2,A124,"White god. Icel.: MacCulloch Eddic 152 (Heimdall), 129 (Balder).",,164
A124.3,2,A124,Goddess with body full of fire. India: Thompson-Balys.,,165
A124.4,2,A124,God's radiance upon Moses' face. Jewish: Neuman.,,166
A124.5,2,A124,God in form of comet. Hawaii: Beckwith Myth 113.,,167
A125,1,,Deity in human form. (The human form is assumed in most mythologies.) —Irish myth: Cross; Jewish: Neuman; Samoa: Henry 346.,,168
A125.1,2,A125,Goddess of war in shape of hag. Irish myth: Cross.,,169
A125.1.1,3,A125.1,Goddess of war in shape of (red) woman. Irish myth: Cross.,,170
A125.2,2,A125,God with red beard. Icel.: *Boberg.,,171
A125.3,2,A125,God with gold teeth. Icel.: MacCulloch Eddic 153 (Heimdall).,,172
A125.4,2,A125,Beautiful goddess. So. Am. Indian (Huarochiri): Métraux RMLP XXXIII 169.,,173
A128,1,,Mutilated god. Egyptian: Müller 92ff.; Jewish: Neuman; Greek: Argonautica IV line 984 (Chronos); India: Thompson-Balys.,,174
A128.1,2,A128,"Blind god. Hödhr.—Icel.: Boberg, De la Saussaye 268.—India: Thompson-Balys; Chinese: Werner 284.",,175
A128.2,2,A128,"One-eyed god. Odin.—Harrison (Jane E.) Prolegomena to the Study of Greek Religion 194; Holmberg Finno-Ugric 179.—Irish myth: Cross; Icel.: Boberg, De la Saussaye 226, MacCulloch Eddic 21; Jewish: Neuman.",,176
A128.2.1,3,A128.2,God with Evil Eye. Irish myth: Cross.,,177
A128.2.2,3,A128.2,"God with single eye, through lid of which passes a polished handle with which lid is lifted. Irish myth: Cross.",,178
A128.3,2,A128,Legless and armless deity supported on animal. Borneo: Dixon 165.,,179
A128.3.1,3,A128.3,God with one leg (foot). Irish myth: Cross.,,180
